Name,ASCII Name,Alternate Names,Latitude,Longitude,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country
Manthani,Manthani,Manthani,18.65087,79.66501,P,PPL,IN,,40,534,,,15661,,135,Asia/Kolkata,10-10-2014,India
Mangrūl Pīr,Mangrul Pir,,20.31379,77.34178,P,PPL,IN,,16,502,,,29198,,450,Asia/Kolkata,07-08-2015,India
Māndleshwar,Mandleshwar,"Mandleshwar,Māndleshwar",22.17598,75.65995,P,PPL,IN,,35,440,,,12049,,165,Asia/Kolkata,14-10-2014,India
Mākum,Makum,"Makum,Makum-Junction,Mākum",27.48652,95.43646,P,PPL,IN,,3,309,,,16225,,130,Asia/Kolkata,10-06-2020,India
Mailāni,Mailani,"Mailani,Mailani Junction,Mailāni,Mailāni Junction",28.29088,80.3438,P,PPL,IN,,36,153,,,14212,,169,Asia/Kolkata,14-10-2014,India
Mahur,Mahur,Mahur,25.18305,93.11342,P,PPL,IN,,3,315,,,7176,,599,Asia/Kolkata,13-10-2014,India
Mahīshādal,Mahishadal,"Mahishadal,Mahīshādal",22.18616,87.98072,P,PPL,IN,,28,345,,,17988,,7,Asia/Kolkata,14-10-2014,India
Machilīpatnam,Machilipatnam,"Bandar,Kistna,Krishna,Machilipatnam,Machilīpatnam,Masulipatam,Masulipatao,Masulipatnam,Masulipatão,macilipatnam,మచిలీపట్నం",16.18747,81.13888,P,PPL,IN,,2,547,,,192827,,11,Asia/Kolkata,10-06-2020,India
Lucknow,Lucknow,"LKO,Lakhnau,Lakkhnau,Lakkhnau shaary,Laknaou,Laknau,Laknauo,Laknava,Laknaú,Laknaŭo,Lucknow,Lucknow City,Luknow,ilakno,lakh nea,lakhana'u,lakhanau,laknau,lakno,laksnau,lei ke nao,leokeunau,lkhnw,lknaw,rakunau,Λάκναου,Лакнау,Лакхнау,Лакхнау шаары,לאקנאו,لكهنؤ,لكهنو,لکناو,لکهنو,لکھنؤ,लखनऊ,लखनौ,লক্ষ্ণৌ,লখনৌ,ਲਖਨਊ,લખનૌ,ଲକ୍ଷ୍ନୌ,இலக்னோ,లక్నో,ಲಕ್ನೋ,ലഖ്‌നൗ,ลัคเนา,ლაქნაუ,ラクナウ,ラクナウー,勒克瑙,러크나우",26.83928,80.92313,P,PPLA,IN,,36,157,,,2472011,,126,Asia/Kolkata,11-11-2015,India
Lonavla,Lonavla,"Lonauli,Lonavala,Lonavla",18.75275,73.40575,P,PPL,IN,,16,521,,,58562,,631,Asia/Kolkata,13-10-2014,India
Lākheri,Lakheri,"Lakheri,Lākheri",25.67237,76.17692,P,PPL,IN,,24,121,,,28463,,237,Asia/Kolkata,14-10-2014,India
Kokrajhar,Kokrajhar,"Kokradzhar,Kokrajhar,Кокраджар",26.40107,90.27286,P,PPL,IN,,3,300,,,31971,,48,Asia/Kolkata,13-10-2014,India
Kizhake Chālakudi,Kizhake Chalakudi,"Chalakudi,Chālakudi,Kizhake Chalakudi,Kizhake Chālakudi",10.30067,76.33763,P,PPL,IN,,13,594,,,49330,,15,Asia/Kolkata,13-10-2014,India
Kishanpur,Kishanpur,Kishanpur,25.64232,81.0227,P,PPL,IN,,36,172,,,6104,,109,Asia/Kolkata,04-12-2018,India
Khuldābād,Khuldabad,"Khuldabad,Khuldābād,Rauza",20.00671,75.19245,P,PPL,IN,,16,515,,,15213,,734,Asia/Kolkata,10-06-2020,India
Khandela,Khandela,Khandela,27.60499,75.502,P,PPL,IN,,24,111,,,23164,,489,Asia/Kolkata,14-10-2014,India
Khāchrod,Khachrod,"Khachrod,Khāchrod",23.42322,75.28185,P,PPL,IN,,35,435,,,31825,,493,Asia/Kolkata,14-10-2014,India
Kerūr,Kerur,"Kerur,Kerūr",16.01384,75.54631,P,PPL,IN,,19,556,,,17928,,629,Asia/Kolkata,14-10-2014,India
Thang,Thang,,34.9274,76.79336,P,PPL,IN,,12,,,,1622,3890,2726,Asia/Kolkata,06-09-2012,India
Wāngjing,Wangjing,"Vanczin,Wangjing,Wāngjing,Ванцзин",24.58921,94.06386,P,PPL,IN,,17,276,,,7528,,793,Asia/Kolkata,13-10-2014,India
Wai,Wai,"Vaj,Wai,va'i,Вай,وئی، مہاراشٹر,वाई,વાઇ",17.95276,73.89058,P,PPL,IN,,16,527,,,32957,,710,Asia/Kolkata,13-10-2014,India
Vīraganūr,Viraganur,,11.47613,78.73553,P,PPL,IN,,25,608,,,10854,,171,Asia/Kolkata,04-10-2017,India
Vasco da Gama,Vasco da Gama,"GOI,Vasco,Vasco da Gama,Vasko-da-Gama,Васко-да-Гама",15.39585,73.81568,P,PPL,IN,,33,586,,,100485,,7,Asia/Kolkata,12-11-2017,India
Udupi,Udupi,"Udipi,Udupi,udupi,wu du pi,ಉಡುಪಿ,乌杜皮",13.33467,74.74617,P,PPL,IN,,19,569,,,165000,,33,Asia/Kolkata,26-03-2018,India
Tirodi,Tirodi,Tirodi,21.68522,79.71906,P,PPL,IN,,35,457,,,8870,,332,Asia/Kolkata,14-10-2014,India
Tindivanam,Tindivanam,"Tindivanam,Tindivangam",12.234,79.65551,P,PPL,IN,,25,607,,,69839,,43,Asia/Kolkata,14-10-2014,India
Tellicherry,Tellicherry,"Talasseri,Tellicherri,Tellicherry,Tellichery,Thalassery,ta la si sai er yi,talacceri,talasseri,thalas'serya,tlshyry,تلشیری,থালস্সের্য,தலச்சேரி,തലശ്ശേരി,塔拉斯塞尔伊",11.74811,75.4929,P,PPL,IN,,13,589,,,97201,,10,Asia/Kolkata,08-11-2015,India
Tālcher,Talcher,"Talchar,Talcher,Tālcher",20.94927,85.23354,P,PPL,IN,,21,384,,,38436,,80,Asia/Kolkata,10-06-2020,India
Talāja,Talaja,"Talaja,Talāja",21.3527,72.03524,P,PPL,IN,,9,481,,,29948,,25,Asia/Kolkata,13-10-2014,India
Surajpur,Surajpur,Surajpur,23.21347,82.86836,P,PPLA2,IN,,37,648,,,0,,557,Asia/Kolkata,28-05-2018,India
Suntikoppa,Suntikoppa,Suntikoppa,12.45594,75.8297,P,PPL,IN,,19,576,,,3500,,969,Asia/Kolkata,14-10-2014,India
Songadh,Songadh,"Songadh,Songarh",21.16966,73.56357,P,PPL,IN,,9,493,,,25269,,118,Asia/Kolkata,13-10-2014,India
Sonāmura,Sonamura,"Sonamura,Sonāmura",23.47547,91.2659,P,PPL,IN,,26,289,,,10821,,23,Asia/Kolkata,14-10-2014,India
Sojītra,Sojitra,"Sojitra,Sojītra",22.53884,72.71984,P,PPL,IN,,9,482,,,19403,,30,Asia/Kolkata,13-10-2014,India
Singur,Singur,Singur,22.80917,88.22944,P,PPL,IN,,28,338,,,19402,,16,Asia/Kolkata,14-10-2014,India
Shrīrangapattana,Shrirangapattana,"Shrirangapattana,Shrīrangapattana,Srirangapatna",12.42264,76.68439,P,PPL,IN,,19,573,,,23927,,689,Asia/Kolkata,12-01-2015,India
Sheopur,Sheopur,"Sheopur,Sheopur Kalan,se'opura,serapura,si he ao pu er,syopura,syopuram,श्योपुरम्,শেওপুর,শেৱপুর,શ્યોપુર,ଶେଓପୁର,斯赫奥普尔",25.66472,76.69616,P,PPL,IN,,35,418,,,62416,,230,Asia/Kolkata,06-05-2015,India
Sardārshahr,Sardarshahr,,28.44062,74.491,P,PPL,IN,,24,102,,,86672,,249,Asia/Kolkata,14-10-2014,India
